tau_0,sample_amount,number_i,t_first_l,cap_rate,slope
0.5,10000,3,16,1000000,-0.0638536133393857
0.5,10000,3,16,316227,-0.06504133751976413
0.5,10000,3,16,100000,-0.02701265808212273
0.5,10000,3,16,31622,-0.07959626352413422
0.5,10000,3,16,10000,-0.079078005916261
0.5,10000,3,16,3162,-0.015838142393619952
0.5,10000,3,16,1000,-0.09767161246962243
1.0,10000,3,16,1000000,-0.09989796244451478
1.0,10000,3,16,316227,-0.22448915587403534
1.0,10000,3,16,100000,-0.0921220620434428
1.0,10000,3,16,31622,-0.14810088618403994
1.0,10000,3,16,10000,-0.14483567057861124
1.0,10000,3,16,3162,-0.07145301212775515
1.0,10000,3,16,1000,-0.1237632315006794
1.5,10000,3,16,1000000,-0.12123743450549754
1.5,10000,3,16,316227,-0.1283738937576172
1.5,10000,3,16,100000,-0.08856518409247159
1.5,10000,3,16,31622,-0.10722168368815713
1.5,10000,3,16,10000,-0.12400329462811145
1.5,10000,3,16,3162,-0.18003653722279483
1.5,10000,3,16,1000,-0.08610925572707155
